記事番号,URL,サマリー
10,https://bloomberg.co.jp/news/articles/2022-09-16/RIAYBVDWLU6B01?srnd=cojp-v2,米物流大手フェデックスが景況悪化を理由に通期の利益見通しを撤回したことで、市場では、他の業種や企業でも同様の動きが出ることへの警戒感が強まっている。フェデックス株が急落、1980年以来の大幅安－通期予想撤回で (1)「フェデックスの警告は平手打ちだった」と、スイスクオートのシニアアナリスト、イペック・オズカルデスカヤ氏は指摘。「これはまさに、今後数四半期にわれわれが目にするであろう一連の警告の一発目だ」と語った。フェデックスの暗い見通しは競合のユナイテッド・パーセル・サービス（ ＵＰＳ）、電子商取引大手 アマゾン・ドット・コムのほか、欧州配送企業の株価にも打撃を与えている。一部のストラテジスト
11,https://bloomberg.co.jp/news/articles/2022-09-17/RIBUQUT0AFB801?srnd=cojp-v2,スイスの銀行、 クレディ・スイス・グループは苦境にある投資銀行部門のてこ入れ策を探る中で、「ファースト・ボストン」のブランド名を復活させることを検討中だ。事情に詳しい複数の関係者が明らかにした。経営幹部は最近、約17年前に廃止された名高いファースト・ボストンのブランド名を再び活用することを社内で提案した。情報の非公開を理由に関係者が匿名で語った。関係者の１人によれば、１つの提案として米投資銀行事業の名前を変える案がある。クレディ・スイス・ファースト・ボストン（2006年） Photographer: Daniel Barry/Bloombergこの案が進めば、クレディ・スイスが最終的に投資銀行
12,https://bloomberg.co.jp/news/articles/2022-09-16/RIB1RUDWX2PS01?srnd=cojp-v2,大手米銀 ゴールドマン・サックス・グループのコンシューマーバンキング事業「 マーカス」が、米連邦準備制度に基づく監督当局の新たな調査対象となっている。同行は６年前にマーカスを創業し、消費者事業に参入した。当局者らはゴールドマンのオンライン金融部門であるマーカスの調査を進めており、少なくとも数週間前から同行の幹部に質問や補足の問い合わせを行っている。事情に詳しい複数の関係者が匿名を条件に明らかにした。このプロセスはまだ続いているという。ゴールドマンのデービッド・ソロモンＣＥＯ（2021年11月17日撮影） Source: Bloomberg今回の調査はゴールドマンに対する通常の監督を超えるもので
13,https://bloomberg.co.jp/news/articles/2022-09-16/RI87KSDWRGG001?srnd=cojp-v2,ポルトガルの南部海岸地域の不動産市場は既に活況を呈していたが、そこに米国人が乗り込んできた。ポルトガル最南端アルガルベの住宅に米国からの買いが今年増えており、供給が限られる海沿いの別荘需要が拡大している。地元の不動産サイトに掲載されている２物件の価格は4000万ユーロ（約57億2000万円）超と、前代未聞の水準だ。「一部の価格はばかげている」とポルトガル・プロパティーの最高経営責任者（ＣＥＯ）、マイケル・ビンセント氏は指摘。現在、平均販売価格は100万ユーロと前年を７－８割程度上回っている状況で、「需要が落ち込むようには見えない」という。不動産エージェント、サヴィルズが今年これまでにアルガルベ
14,https://bloomberg.co.jp/news/articles/2022-09-12/RI2K1NDWX2PS01?srnd=cojp-v2,住宅購入者と不動産所有者は世界中で借り入れコスト上昇に伴う痛手を負っている。シドニーやストックホルム、シアトルなどの各地で潜在的な買い手は購入を手控えつつある。各国・地域の中央銀行が過去数十年ぶりの急ペースで利上げを進め、住宅価格は下落している。一方、新型コロナウイルス禍のブーム期に低金利の借り入れで住宅を購入した多くの人々は、ローンのリセットを受けて支払いが増えることになる。家計資産の主要な項目である不動産の急激な価格低下は世界的な景気下降に拍車を掛けることになりかねない。住宅市場の不振はこれまでのところ2008年の金融危機の水準には近づいていない。だが、消費者信頼感を損なったり深刻なリセッ
15,https://bloomberg.co.jp/news/articles/2022-09-14/RI6BLHDWLU6801?srnd=cojp-v2,イタリアの フェラーリは13日、待望のクロスオーバー車「プロサングエ」を発表した。価格は39万ユーロ（約5620万円）。スーパーカーのメーカーであるフェラーリは新型車投入を通じ、より幅広い顧客層にアピールする新時代に突入する。フェラーリの75年の歴史で最も実用的モデルとなるプロサングエは、同社にとって初の４ドア４シーターで、トランク容量は473リットル。開発に４年余りをかけたプロサングエは、フェラーリの車高の低いレーシングカーとは一線を画しており、多用途車両は製造しないという見方を打ち消すモデルだ。プロサングエはそうした説明にぴったり合うとの自信をフェラーリはみなぎらせている。スポーツタイプ多
16,https://www.bloomberg.co.jp/news/articles/2022-09-18/RIDO2OT0G1L001?srnd=cojp-v2,気象庁は18日、大型で非常に強い台風第14号が19日にかけて九州にかなり接近し、上陸するおそれがあると 発表した。台風14号の中心は午後１時半ごろに屋久島付近を 通過した。鹿児島県では過去に経験したことのないような暴風や高波、高潮となるおそれがあるとして暴風特別警報を発令し、気象庁は最大級の警戒を呼びかけている。政府は同日午後、台風14号について関係閣僚会議を開き、岸田文雄首相は「先手先手で対応にあたってほしい」と指示した。首相官邸に設置していた連絡室を対策室に格上げした。また、国民に対しては、最新の気象情報や避難情報に十分注意し、少しでも危険を感じたらちゅうちょせず避難するよう呼びかけた。ラ
17,https://www.bloomberg.co.jp/news/articles/2022-09-18/RIDKT2T1UM0Y01?srnd=cojp-v2,インフレで打撃を被った投資家にとって、今年の極めて悪い状況はさらに深刻になり始めているようだ。株価が下落し、債券はこの数十年で最も大きな損失に見舞われる中で、消費者物価の高騰は今年に入り、金融市場に利益をつかむ幾つかの避難先を提供していた。原油価格は大幅に上昇し、他の商品価格も同様の動きを見せた。住宅価格と賃貸料の上昇は不動産セクターを下支えした。だが、隠れ場所は急速に消滅しつつある。コアインフレ率の上昇により米連邦準備制度がこの数十年で最も積極的な利上げを継続すると見込まれるからだ。これは全ての資産にとって悪いニュースだ。米ペンシルベニア大学と香港大学による最新の 調査研究によると、株と債券
18,https://www.bloomberg.co.jp/news/articles/2022-09-16/RIB30TDWX2PS01?srnd=cojp-v2,９月の米ミシガン大学消費者マインド指数では、長期のインフレ期待がここ１年余りで最も低い水準となった。インフレ期待の安定を目指す米金融当局にとって前向きな兆候が示された。キーポイント ミシガン大消費者マインド指数（速報値）は59.5に上昇－４月以来の高水準 前月の確定値は58.2 予想中央値は60.0５－10年先のインフレ期待は2.8％－2021年７月以来の低水準 １年先のインフレ期待は4.6％に低下－21年９月以来の低さインフレ期待（上段：白が１年先、青が５－10年先）と消費者マインド指数（下段）の推移 出所：ミシガン大学消費者の間で供給不足についての言及が減り、ガソリン価格が低下している一方
19,https://www.bloomberg.co.jp/news/articles/2022-09-17/RIDKHHT0AFB901?srnd=cojp-v2,中部電力の広報担当者は、 東芝の再編案募集に関連して、「出資を決定したものではない」としつつ、情報を収集しており「デューデリジェンスに参加しているのは事実」と述べた。同社の広報担当者がブルームバーグの取材に対して回答した。東芝のロゴ Photographer: Soichiro Koriyama/Bloomberg日本経済新聞は18日、中部電力や オリックスなど複数の日本企業が東芝に出資する検討を始めたと、情報源を示さず 報じた。投資ファンドの日本産業パートナーズ（ＪＩＰ）が10社超の企業に参加を呼びかけているという。東芝は株式の非公開化を含めて再編案を公募している。日経新聞によると、ＪＩＰは
20,https://www.bloomberg.co.jp/news/articles/2022-09-16/RIBJQ8DWX2PS01?srnd=cojp-v2,16日の米株式相場は続落。Ｓ＆Ｐ500種株価指数は週間ベースでは６月中旬以来の大幅安となった。物流大手フェデックスが前日、景況悪化を理由に通期利益見通しを撤回。米金融当局による大幅利上げを巡る懸念を一段と強める格好となった。外国為替市場ではドルがやや軟化し、対円では143円を割り込んだ。フェデックスの警告は「平手打ち」、景況悪化で企業業績に懸念強まる米国株は続落、Ｓ＆Ｐ500種は週間ベースで約５％安米２年債利回り3.87％、10年債利回りは3.45％ドルは上げを消す、円上昇－英ポンドに売りＮＹ原油ほぼ変わらず－週間では下落、景気減速懸念でＮＹ金先物は小反発、ＦＯＭＣ控え神経質な取引Ｓ＆Ｐ500
21,https://www.bloomberg.co.jp/news/articles/2022-09-16/RIAPFZDWX2PS01?srnd=cojp-v2,足元の円安に歯止めをかけるために財務省は直接介入も辞さない構えを示すが、安定的な成長と物価上昇を目指す中で露呈する日本のちぐはぐな政策がさらなる円安をもたらす可能性がある。鈴木俊一財務相は14日夜、為替介入は「予告的にやるものではない」「やるときは間髪入れずに瞬時に行う」と円安をけん制した。一方、日本銀行は同日午前、円安圧力を強めることにつながる国債買い入れ増額を実施していた。日銀は長期金利を許容変動幅の上限とする0.25％内に抑えるため、14、15日の２日間だけで国債買い入れに約１兆4200億円を費やした。これは日本が1998年６月、最後に円買い介入を実施した際に投じた2310億円を大きく上
22,https://www.bloomberg.co.jp/news/articles/2022-09-16/RIAA8TDWLU6801?srnd=cojp-v2,来週の米連邦公開市場委員会（ＦＯＭＣ）後に公表される最新のドット・プロット（予測分布図）では、フェデラルファンド（ＦＦ）金利誘導目標の上限が12月までに４％に達し、2023年を通じて高止まりするというタカ派色のより強いスタンスが示されそうだ。ブルームバーグのエコノミスト調査では、20、21日のＦＯＭＣでＦＦ金利誘導目標が３会合連続で0.75ポイント引き上げられ、３－3.25％になるとの見通しが大勢を占めた。ＦＯＭＣ参加者による最新ドット・プロットは、誘導目標の上限が年末までに４％に到達後、来年さらに少し上げ、24年の一連の利下げで3.6％に戻る軌道を示唆すると見込まれる。８月の米消費者物価指数
23,https://www.bloomberg.co.jp/news/articles/2022-09-18/RIDVCMT0AFB601?srnd=cojp-v2,米ゴールドマン・サックス・グループは、米連邦準備制度の利上げ幅見通しを上方修正したことを受けて、2023年の米経済成長率見通しを下方修正した。ヤン・ハッチウス氏ら同社のエコノミストは16日のリポートで、23年の米国内総生産（ＧＤＰ）の成長率見通しを1.1％と、これまでの1.5％から引き下げた。今年の成長率は０％に据え置いた。ゴールドマン、９月と11月の米利上げ幅予想を上方修正ゴールドマンはまた、成長率見通しの引き下げを踏まえて米失業率の見通しを引き上げた。今年末までの失業率は約3.7％（従来予想3.6％）、23年末までは4.1％（同3.8％）、24年末までは4.2％（同４％）との予想を示した。
24,https://www.bloomberg.co.jp/news/articles/2022-09-17/RIC1E9T0AFBC01?srnd=cojp-v2,暗号資産（仮想通貨）イーサが16日の米国時間帯の取引で７週間ぶりの安値を付け、イーサ保有者に与えられたボーナストークンの価格も50％余り下げた。仮想通貨の投資家はリスク資産の 幅広い売りに再び目を向けた。エネルギー効率を高める大型アップグレード「マージ」への移行がここ数週間は投資家の焦点だった。 ブロックチェーン（分散型台帳）イーサリアムで使用されるイーサは５営業日続落し、一時6.5％安の約1407ドルを付けた。ギャラクシー・デジタルの調査アソシエート、 クリスティン・キム氏はツイッターで、「マクロ情勢悪化に伴うリスク資産全般の売りが背景にある可能性が高い」と指摘。また「マージは長期的にはプラ
25,https://www.bloomberg.co.jp/news/articles/2022-09-16/RIB9CGDWX2PU01?srnd=cojp-v2,サマーズ元米財務長官は16日、米金融当局が積極的な金融引き締めを手控えていることに異議を唱え、消極的な姿勢はより大きな経済的ダメージをもたらすと論じた。サマーズ氏はブルームバーグテレビジョンで、「インフレに対する政策調整が過度に遅れ、そのため極めて著しいコストが生じた多くの例が過去にある」と発言。「私の認識では、米金融当局がインフレに過剰なスピードで対応し、大きな代償を払った主な例は一切ない」と述べた。サマーズ氏は、高インフレを克服したことで知られるボルカー元米連邦準備制度理事会（ＦＲＢ）議長すらも「出だしは失敗のようなものだった」と強調した。「われわれは著しい基調インフレの問題を抱えている。
26,https://www.bloomberg.co.jp/news/articles/2022-09-16/RIAYBVDWLU6B01?srnd=cojp-v2,米物流大手フェデックスが景況悪化を理由に通期の利益見通しを撤回したことで、市場では、他の業種や企業でも同様の動きが出ることへの警戒感が強まっている。フェデックス株が急落、1980年以来の大幅安－通期予想撤回で (1)「フェデックスの警告は平手打ちだった」と、スイスクオートのシニアアナリスト、イペック・オズカルデスカヤ氏は指摘。「これはまさに、今後数四半期にわれわれが目にするであろう一連の警告の一発目だ」と語った。フェデックスの暗い見通しは競合のユナイテッド・パーセル・サービス（ ＵＰＳ）、電子商取引大手 アマゾン・ドット・コムのほか、欧州配送企業の株価にも打撃を与えている。一部のストラテジスト
27,https://www.bloomberg.co.jp/news/articles/2022-09-17/RIBUQUT0AFB801?srnd=cojp-v2,スイスの銀行、 クレディ・スイス・グループは苦境にある投資銀行部門のてこ入れ策を探る中で、「ファースト・ボストン」のブランド名を復活させることを検討中だ。事情に詳しい複数の関係者が明らかにした。経営幹部は最近、約17年前に廃止された名高いファースト・ボストンのブランド名を再び活用することを社内で提案した。情報の非公開を理由に関係者が匿名で語った。関係者の１人によれば、１つの提案として米投資銀行事業の名前を変える案がある。クレディ・スイス・ファースト・ボストン（2006年） Photographer: Daniel Barry/Bloombergこの案が進めば、クレディ・スイスが最終的に投資銀行
28,https://www.bloomberg.co.jp/news/articles/2022-09-16/RIB1RUDWX2PS01?srnd=cojp-v2,大手米銀 ゴールドマン・サックス・グループのコンシューマーバンキング事業「 マーカス」が、米連邦準備制度に基づく監督当局の新たな調査対象となっている。同行は６年前にマーカスを創業し、消費者事業に参入した。当局者らはゴールドマンのオンライン金融部門であるマーカスの調査を進めており、少なくとも数週間前から同行の幹部に質問や補足の問い合わせを行っている。事情に詳しい複数の関係者が匿名を条件に明らかにした。このプロセスはまだ続いているという。ゴールドマンのデービッド・ソロモンＣＥＯ（2021年11月17日撮影） Source: Bloomberg今回の調査はゴールドマンに対する通常の監督を超えるもので
29,https://www.bloomberg.co.jp/news/articles/2022-09-16/RI87KSDWRGG001?srnd=cojp-v2,ポルトガルの南部海岸地域の不動産市場は既に活況を呈していたが、そこに米国人が乗り込んできた。ポルトガル最南端アルガルベの住宅に米国からの買いが今年増えており、供給が限られる海沿いの別荘需要が拡大している。地元の不動産サイトに掲載されている２物件の価格は4000万ユーロ（約57億2000万円）超と、前代未聞の水準だ。「一部の価格はばかげている」とポルトガル・プロパティーの最高経営責任者（ＣＥＯ）、マイケル・ビンセント氏は指摘。現在、平均販売価格は100万ユーロと前年を７－８割程度上回っている状況で、「需要が落ち込むようには見えない」という。不動産エージェント、サヴィルズが今年これまでにアルガルベ
30,https://www.bloomberg.co.jp/news/articles/2022-09-12/RI2K1NDWX2PS01?srnd=cojp-v2,住宅購入者と不動産所有者は世界中で借り入れコスト上昇に伴う痛手を負っている。シドニーやストックホルム、シアトルなどの各地で潜在的な買い手は購入を手控えつつある。各国・地域の中央銀行が過去数十年ぶりの急ペースで利上げを進め、住宅価格は下落している。一方、新型コロナウイルス禍のブーム期に低金利の借り入れで住宅を購入した多くの人々は、ローンのリセットを受けて支払いが増えることになる。家計資産の主要な項目である不動産の急激な価格低下は世界的な景気下降に拍車を掛けることになりかねない。住宅市場の不振はこれまでのところ2008年の金融危機の水準には近づいていない。だが、消費者信頼感を損なったり深刻なリセッ
31,https://www.bloomberg.co.jp/news/articles/2022-09-14/RI6BLHDWLU6801?srnd=cojp-v2,イタリアの フェラーリは13日、待望のクロスオーバー車「プロサングエ」を発表した。価格は39万ユーロ（約5620万円）。スーパーカーのメーカーであるフェラーリは新型車投入を通じ、より幅広い顧客層にアピールする新時代に突入する。フェラーリの75年の歴史で最も実用的モデルとなるプロサングエは、同社にとって初の４ドア４シーターで、トランク容量は473リットル。開発に４年余りをかけたプロサングエは、フェラーリの車高の低いレーシングカーとは一線を画しており、多用途車両は製造しないという見方を打ち消すモデルだ。プロサングエはそうした説明にぴったり合うとの自信をフェラーリはみなぎらせている。スポーツタイプ多
32,https://www.bloomberg.co.jp/news/videos/2022-09-16/RIA0LLDWX2QK01,金融業界を描くＴＶ番組と現実世界ＨＢＯのドラマ「インダストリー」は金融業界の栄光と挫折を描いている。制作総指揮者のミッキー・ダウン氏とコンラッド・ケイ氏がドラマ制作の裏側やミーム株、ガラスの天井、ブルームバーグの端末について語った。動画リポート。 (Source: Bloomberg)
33,https://www.bloomberg.co.jp/news/videos/2022-09-15/RI9ZC6DWRGG001,高級腕時計の中古相場は底を打ったか高級腕時計の中古相場は、年初からの上昇と下落を経て底を打った可能性が見えてきたかもしれない。ブルームバーグのアナベル・ドルラーズ記者の動画リポート。 (Source: Bloomberg)
34,https://www.bloomberg.co.jp/news/videos/2022-09-15/RI9Z8ADWLU6801,サリバン米大統領補佐官：中国の台湾侵攻は「明白な脅威」サリバン米大統領補佐官（国家安全保障問題担当）が、中国の台湾侵攻について「明白な脅威」だとブルームバーグＴＶのインタビュー番組で述べた。聞き手はカーライル・グループの共同創業者デービッド・ルーベンスタイン氏。動画リポート。 (Source: Bloomberg)
35,https://www.bloomberg.co.jp/news/videos/2022-09-15/RI8GYADWRGG001,上がったものは必ず下がる金融の世界では全てが平均に回帰すると言われる。最近ではビットコインが一例だ。しかし、ニューヨーク・ヤンキースのアーロン・ジャッジ選手は、全ては地上に落ちて来るという法則とは無関係の活躍をみせている。デービッド・ウェスティンが説明する。動画リポート。 (Source: Bloomberg)
36,https://www.bloomberg.co.jp/news/videos/2022-09-15/RI8GDOT0G1KW01,ティックトックの抜けた市場を争う「これは、ユーザー基盤の点で大きなチャンスです」。2020年にティックトックがインドで禁止された際、テック大手のグーグルとメタは、200億ドル規模に上るＳＮＳ動画市場の穴を埋めようと競った。ブルームバーグのアレックス・ウェブ記者とサンカルプ・ファーシャル記者が解説する。動画リポート。 (Source: Bloomberg)
37,https://www.bloomberg.co.jp/news/videos/2022-09-15/RI8GCZT0AFB401,大統領選結果の否認派の勝利続く2020年米大統領選結果の否認派は、単に虚偽を広めているだけではなく、何人かは11月の中間選挙の候補者名簿に載っており、勝利すれば2024年の大統領選にも影響を与えるだろう。ブルームバーグのマディソン・ミルズ記者による動画リポート。 (Source: Bloomberg)
38,https://www.bloomberg.co.jp/news/videos/2022-09-15/RI8G3XDWRGG001,経済は夜明け前か夜明け前が一番暗いと言われる。今は投資家にとって真っ暗だが、一筋の光も見え始めた。それが幻の夜明けなのか、それとも待ち続けた投資家が明るい未来に向けポジションを取る好機なのか。ＲＢＣキャピタル・マーケッツの米株戦略責任者のロリ・カルバシナ氏、ＢＮＹメロンの株式責任者のアリシア・レビン氏、ＦＳインベストメンツのチーフ市場ストラテジストのトロイ・ガイェスキ氏、アーク・インベストメント・マネジメントのキャシー・ウッド最高経営責任者（ＣＥＯ）の発言をまとめた動画リポート。 (Source: Bloomberg)
39,https://www.bloomberg.co.jp/news/videos/2022-09-15/RI8G2TDWLU6801,イーサリアムの「マージ」とは暗号資産（仮想通貨）イーサのブロックチェーン（分散型台帳）イーサリアムの「マージ」とは、ソフトウエアの大型アップグレードのことだ。ブルームバーグのタンジール・アクタル記者が解説する。動画リポート。 (Source: Bloomberg)
40,https://www.bloomberg.co.jp/news/videos/2022-09-14/RI6CAGDWX2PS01,マーベルとＤＣが作家のＮＦＴ販売を禁止コミック大手のマーベルとＤＣは、アーティストがキャラクターを使った非代替性トークン（ＮＦＴ）を販売するのを禁止している。 マディス・カバシュ記者がアーティストや販売業者の反応を動画でリポートする。 (Source: Bloomberg)
41,https://www.bloomberg.co.jp/news/videos/2022-09-13/RI67BNDWRGG001,スポーツギャンブル：「パーレイ」の仕組みスーパーボウルなどのスポーツで賭けを行う人たちは「パーレイ」についてよく話題にしている。「パーレイ」とは何か、ブルームバーグのダミアン・サソワーとケイリー・ラインズが解説する。動画リポート。 (Source: Bloomberg)
42,https://www.bloomberg.co.jp/news/videos/2022-09-13/RI67B8DWLU6801,スポーツギャンブル：「オーバーアンダー」の仕組みスポーツの試合に賭けるには、いろいろな方法がある。 その１つが「オーバーアンダー」だ。ブルームバーグのダミアン・サソワーとケイリー・ラインズがその仕組みを解説する。動画リポート。 (Source: Bloomberg)
43,https://www.bloomberg.co.jp/news/videos/2022-09-13/RI4L0ZT1UM0W01,韓国のアートシーンの急成長「韓国は東アジアにおいて、非常に安定した供給地になりそうです」。香港で厳しいパンデミック対策と人権弾圧が続く一方で、ソウルが強力な文化都市として浮上している。ソウルは香港を抜いてアジアの新たなアートの中心地になれるだろうか。動画リポート。 (Source: Bloomberg)
44,https://www.bloomberg.co.jp/news/videos/2022-09-13/RI4KR4T0G1KZ01,レストランの競争力を高めるユニークな人材米中西部のレストランチェーン店、「ホットチキンテイクオーバー」は、犯罪歴や薬物依存症、ホームレスなどを理由に他の事業主から採用を見送られた人たちを雇い、献身的なスタッフを育てている。この雇用モデルが店の文化とビジネス戦略の両方をいかに向上させたかを、創業者のジョー・デロス氏が語る。動画リポート。 (Source: Bloomberg)
45,https://www.bloomberg.co.jp/news/videos/2022-09-13/RI4H0DDWLU6C01,スポーツギャンブル：「ポイントスプレッド」の仕組みスポーツギャンブルの「ポイントスプレッド」とは何か。 ブルームバーグＴＶの番組「ラインアップ」で、ダミアン・サソワーとケイリー・ラインズが解説する。 (Source: Bloomberg)
46,https://www.bloomberg.co.jp/news/videos/2022-09-13/RI4H04T0AFB701,幻覚剤療法の評価幻覚剤は、うつ病や心的外傷後ストレス障害（ＰＴＳＤ）などの治療に効果があることが示されている。マジックマッシュルームの成分などは治療薬の一端として受け入れられつつあるが、その研究には反発もある。米国の現状をブルームバーグのクリステン・ブラウン記者が動画でリポートする。 (Source: Bloomberg)
